Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULDHANA,22,GAIKWAD SANJAY RAMBHAU,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,JAYSHREE SUNIL SHELKE,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,841,25/25,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYCULLA,184,MANOJ PANDURANG JAMSUTKAR,Shiv Sena (Uddhav Balasaheb Thackeray)iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,YAMINI YASHWANT JADHAV,"Shiv Sena
iParty Wise State TrendsLeading In:0Won In:57Trailing In:0",Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,31361,19/19,Result Declared
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHALISGAON,17,MANGESH RAMESH CHAVAN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,UNMESH BHAIYYASAHEB PATIL,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,85653,25/25,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDGAD,271,SHIVAJI SHATTUPA PATIL,IndependentiParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,RAJESH NARSINGRAO PATIL,"Nationalist Congress Party
iParty Wise State TrendsLeading In:0Won In:41Trailing In:0",Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,24134,28/28,Result Declared
Independent,iParty Wise State TrendsLeading In:0Won In:2Trailing In:0,Leading In,:,0,Won In,:,2,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDIVALI,168,DILIP BHAUSAHEB LANDE,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,KHAN MOHD. ARIF (NASEEM),"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,20625,29/29,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDRAPUR,71,JORGEWAR KISHOR GAJANAN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,PRAVIN NANAJI PADWEKAR,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,22804,28/28,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHANDVAD,118,DR.AHER RAHUL DAULATRAO,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,GANESH RAMESH NIMBALKAR,"Prahar Janshakti Party
iParty Wise State TrendsLeading In:0Won In:0Trailing In:0",Prahar Janshakti Party,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,48961,22/22,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prahar Janshakti Party,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARKOP,161,YOGESH SAGAR,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,YASHWANT JAYPRAKASH SINGH,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,91154,22/22,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBUR,173,TUKARAM RAMKRUSHNA KATE,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,PRAKASH VAIKUNTH PHATERPEKAR,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,10711,21/21,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIKHLI,23,SHWETA VIDYADHAR MAHALE,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,RAHUL SIDDHAVINAYAK BONDRE,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,3201,23/23,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIMUR,74,BANTI BHANGDIYA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,SATISH MANOHAR WARJUKAR,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,9853,23/23,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHINCHWAD,205,JAGTAP SHANKAR PANDURANG,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,KALATE RAHUL TANAJI,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,103865,24/24,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHIPLUN,265,SHEKHAR GOVINDRAO NIKAM,Nationalist Congress PartyiParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,PRASHANT BABAN YADAV,"Nationalist Congress Party – Sharadchandra Pawar
iParty Wise State TrendsLeading In:0Won In:10Trailing In:0",Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,6867,24/24,Result Declared
Nationalist Congress Party,iParty Wise State TrendsLeading In:0Won In:41Trailing In:0,Leading In,:,0,Won In,:,41,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nationalist Congress Party – Sharadchandra Pawar,iParty Wise State TrendsLeading In:0Won In:10Trailing In:0,Leading In,:,0,Won In,:,10,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOPDA,10,CHANDRAKANT BALIRAM SONAWANE,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,PRABHAKAR AAPPA GOTU SONAWANE,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,32313,25/25,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLABA,187,ADV RAHUL SURESH NARWEKAR,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,HEERA NAWAJI DEVASI,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:16Trailing In:0",Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,48581,19/19,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indian National Congress,iParty Wise State TrendsLeading In:0Won In:16Trailing In:0,Leading In,:,0,Won In,:,16,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAHANU,128,VINOD BHIVA NIKOLE,Communist Party of India  (Marxist)iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Communist Party of India  (Marxist),iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,MEDHA VINOD SURESH,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:132Trailing In:0",Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,5133,24/24,Result Declared
Communist Party of India  (Marxist),iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAHISAR,153,CHAUDHARY MANISHA ASHOK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,GHOSALKAR VINOD RAMCHANDRA,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,44329,22/22,Result Declared
Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:132Trailing In:0,Leading In,:,0,Won In,:,132,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPOLI,263,KADAM YOGESHDADA RAMDAS,Shiv SenaiParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,KADAM SANJAY VASANT,"Shiv Sena (Uddhav Balasaheb Thackeray)
iParty Wise State TrendsLeading In:0Won In:20Trailing In:0",Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,24093,28/28,Result Declared
Shiv Sena,iParty Wise State TrendsLeading In:0Won In:57Trailing In:0,Leading In,:,0,Won In,:,57,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DARYAPUR,40,GAJANAN MOTIRAM LAWATE,Shiv Sena (Uddhav Balasaheb Thackeray)iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,BUNDILE RAMESH GANPATRAO,"Rashtriya Yuva Swabhiman Party
iParty Wise State TrendsLeading In:0Won In:1Trailing In:0",Rashtriya Yuva Swabhiman Party,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,19709,25/25,Result Declared
Shiv Sena (Uddhav Balasaheb Thackeray),iParty Wise State TrendsLeading In:0Won In:20Trailing In:0,Leading In,:,0,Won In,:,20,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashtriya Yuva Swabhiman Party,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,,,,,,,,,,,,,,,,,,,,
Leading In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Won In,:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trailing In,:,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
